refund_request_id,challenge_customer_id,mapping_purpose
v2_rr_0011678,v2_cold_000049,separate_cold_start_challenge
v2_rr_0010532,v2_cold_000050,separate_cold_start_challenge
v2_rr_0010072,v2_cold_000051,separate_cold_start_challenge
v2_rr_0011882,v2_cold_000052,separate_cold_start_challenge
v2_rr_0011500,v2_cold_000053,separate_cold_start_challenge
v2_rr_0009761,v2_cold_000054,separate_cold_start_challenge
v2_rr_0011227,v2_cold_000055,separate_cold_start_challenge
v2_rr_0011749,v2_cold_000056,separate_cold_start_challenge
v2_rr_0009875,v2_cold_000057,separate_cold_start_challenge
v2_rr_0010188,v2_cold_000058,separate_cold_start_challenge
v2_rr_0010735,v2_cold_000059,separate_cold_start_challenge
v2_rr_0009640,v2_cold_000060,separate_cold_start_challenge
v2_rr_0010736,v2_cold_000061,separate_cold_start_challenge
v2_rr_0010424,v2_cold_000062,separate_cold_start_challenge
v2_rr_0011338,v2_cold_000063,separate_cold_start_challenge
v2_rr_0011949,v2_cold_000064,separate_cold_start_challenge
v2_rr_0011304,v2_cold_000065,separate_cold_start_challenge
v2_rr_0010327,v2_cold_000066,separate_cold_start_challenge
v2_rr_0009677,v2_cold_000067,separate_cold_start_challenge
v2_rr_0009922,v2_cold_000068,separate_cold_start_challenge
v2_rr_0011938,v2_cold_000069,separate_cold_start_challenge
v2_rr_0010710,v2_cold_000070,separate_cold_start_challenge
v2_rr_0010147,v2_cold_000071,separate_cold_start_challenge
v2_rr_0010517,v2_cold_000072,separate_cold_start_challenge
v2_rr_0011778,v2_cold_000073,separate_cold_start_challenge
v2_rr_0010783,v2_cold_000074,separate_cold_start_challenge
v2_rr_0011279,v2_cold_000075,separate_cold_start_challenge
v2_rr_0010090,v2_cold_000076,separate_cold_start_challenge
v2_rr_0011195,v2_cold_000077,separate_cold_start_challenge
v2_rr_0010127,v2_cold_000078,separate_cold_start_challenge
v2_rr_0011013,v2_cold_000079,separate_cold_start_challenge
v2_rr_0011613,v2_cold_000080,separate_cold_start_challenge
v2_rr_0011327,v2_cold_000081,separate_cold_start_challenge
v2_rr_0010934,v2_cold_000082,separate_cold_start_challenge
v2_rr_0010739,v2_cold_000083,separate_cold_start_challenge
v2_rr_0011438,v2_cold_000084,separate_cold_start_challenge
v2_rr_0011715,v2_cold_000085,separate_cold_start_challenge
v2_rr_0011285,v2_cold_000086,separate_cold_start_challenge
v2_rr_0011563,v2_cold_000087,separate_cold_start_challenge
v2_rr_0009664,v2_cold_000088,separate_cold_start_challenge
v2_rr_0011060,v2_cold_000089,separate_cold_start_challenge
v2_rr_0011168,v2_cold_000090,separate_cold_start_challenge
v2_rr_0009802,v2_cold_000091,separate_cold_start_challenge
v2_rr_0010271,v2_cold_000092,separate_cold_start_challenge
v2_rr_0009868,v2_cold_000093,separate_cold_start_challenge
v2_rr_0010081,v2_cold_000094,separate_cold_start_challenge
v2_rr_0010611,v2_cold_000095,separate_cold_start_challenge
v2_rr_0011479,v2_cold_000096,separate_cold_start_challenge
v2_rr_0009893,v2_cold_000097,separate_cold_start_challenge
v2_rr_0010217,v2_cold_000098,separate_cold_start_challenge
v2_rr_0010798,v2_cold_000099,separate_cold_start_challenge
v2_rr_0010176,v2_cold_000100,separate_cold_start_challenge
v2_rr_0011028,v2_cold_000101,separate_cold_start_challenge
v2_rr_0010886,v2_cold_000102,separate_cold_start_challenge
v2_rr_0009960,v2_cold_000103,separate_cold_start_challenge
v2_rr_0009698,v2_cold_000104,separate_cold_start_challenge
v2_rr_0010009,v2_cold_000105,separate_cold_start_challenge
v2_rr_0010839,v2_cold_000106,separate_cold_start_challenge
v2_rr_0010546,v2_cold_000107,separate_cold_start_challenge
v2_rr_0009638,v2_cold_000108,separate_cold_start_challenge
v2_rr_0011047,v2_cold_000109,separate_cold_start_challenge
v2_rr_0011902,v2_cold_000110,separate_cold_start_challenge
v2_rr_0010769,v2_cold_000111,separate_cold_start_challenge
v2_rr_0011262,v2_cold_000112,separate_cold_start_challenge
v2_rr_0011651,v2_cold_000113,separate_cold_start_challenge
v2_rr_0009615,v2_cold_000114,separate_cold_start_challenge
v2_rr_0011764,v2_cold_000115,separate_cold_start_challenge
v2_rr_0010979,v2_cold_000116,separate_cold_start_challenge
v2_rr_0010184,v2_cold_000117,separate_cold_start_challenge
v2_rr_0011381,v2_cold_000118,separate_cold_start_challenge
v2_rr_0011135,v2_cold_000119,separate_cold_start_challenge
v2_rr_0010632,v2_cold_000120,separate_cold_start_challenge
v2_rr_0010795,v2_cold_000121,separate_cold_start_challenge
v2_rr_0010389,v2_cold_000122,separate_cold_start_challenge
v2_rr_0010459,v2_cold_000123,separate_cold_start_challenge
v2_rr_0011390,v2_cold_000124,separate_cold_start_challenge
v2_rr_0011183,v2_cold_000125,separate_cold_start_challenge
v2_rr_0010801,v2_cold_000126,separate_cold_start_challenge
v2_rr_0010722,v2_cold_000127,separate_cold_start_challenge
v2_rr_0010948,v2_cold_000128,separate_cold_start_challenge
v2_rr_0010691,v2_cold_000129,separate_cold_start_challenge
v2_rr_0011133,v2_cold_000130,separate_cold_start_challenge
v2_rr_0011263,v2_cold_000131,separate_cold_start_challenge
v2_rr_0011043,v2_cold_000132,separate_cold_start_challenge
v2_rr_0011861,v2_cold_000133,separate_cold_start_challenge
v2_rr_0009996,v2_cold_000134,separate_cold_start_challenge
v2_rr_0010887,v2_cold_000135,separate_cold_start_challenge
v2_rr_0011056,v2_cold_000136,separate_cold_start_challenge
v2_rr_0011707,v2_cold_000137,separate_cold_start_challenge
v2_rr_0010213,v2_cold_000138,separate_cold_start_challenge
v2_rr_0010792,v2_cold_000139,separate_cold_start_challenge
v2_rr_0010945,v2_cold_000140,separate_cold_start_challenge
v2_rr_0011053,v2_cold_000141,separate_cold_start_challenge
v2_rr_0010640,v2_cold_000142,separate_cold_start_challenge
v2_rr_0010998,v2_cold_000143,separate_cold_start_challenge
v2_rr_0011298,v2_cold_000144,separate_cold_start_challenge
v2_rr_0011960,v2_cold_000145,separate_cold_start_challenge
v2_rr_0011139,v2_cold_000146,separate_cold_start_challenge
v2_rr_0011220,v2_cold_000147,separate_cold_start_challenge
v2_rr_0010633,v2_cold_000148,separate_cold_start_challenge
v2_rr_0009700,v2_cold_000149,separate_cold_start_challenge
v2_rr_0011763,v2_cold_000150,separate_cold_start_challenge
v2_rr_0010995,v2_cold_000151,separate_cold_start_challenge
v2_rr_0011852,v2_cold_000152,separate_cold_start_challenge
v2_rr_0011099,v2_cold_000153,separate_cold_start_challenge
v2_rr_0010087,v2_cold_000154,separate_cold_start_challenge
v2_rr_0009902,v2_cold_000155,separate_cold_start_challenge
v2_rr_0011367,v2_cold_000156,separate_cold_start_challenge
v2_rr_0010151,v2_cold_000157,separate_cold_start_challenge
v2_rr_0010677,v2_cold_000158,separate_cold_start_challenge
v2_rr_0010823,v2_cold_000159,separate_cold_start_challenge
v2_rr_0010319,v2_cold_000160,separate_cold_start_challenge
v2_rr_0009692,v2_cold_000161,separate_cold_start_challenge
v2_rr_0009866,v2_cold_000162,separate_cold_start_challenge
v2_rr_0011293,v2_cold_000163,separate_cold_start_challenge
v2_rr_0010040,v2_cold_000164,separate_cold_start_challenge
v2_rr_0010726,v2_cold_000165,separate_cold_start_challenge
v2_rr_0011447,v2_cold_000166,separate_cold_start_challenge
v2_rr_0011868,v2_cold_000167,separate_cold_start_challenge
v2_rr_0010701,v2_cold_000168,separate_cold_start_challenge
v2_rr_0010718,v2_cold_000169,separate_cold_start_challenge
v2_rr_0011849,v2_cold_000170,separate_cold_start_challenge
v2_rr_0010520,v2_cold_000171,separate_cold_start_challenge
v2_rr_0010063,v2_cold_000172,separate_cold_start_challenge
v2_rr_0010539,v2_cold_000173,separate_cold_start_challenge
v2_rr_0011865,v2_cold_000174,separate_cold_start_challenge
v2_rr_0009878,v2_cold_000175,separate_cold_start_challenge
v2_rr_0011312,v2_cold_000176,separate_cold_start_challenge
v2_rr_0009673,v2_cold_000177,separate_cold_start_challenge
v2_rr_0011391,v2_cold_000178,separate_cold_start_challenge
v2_rr_0011411,v2_cold_000179,separate_cold_start_challenge
v2_rr_0010356,v2_cold_000180,separate_cold_start_challenge
v2_rr_0010907,v2_cold_000181,separate_cold_start_challenge
v2_rr_0011309,v2_cold_000182,separate_cold_start_challenge
v2_rr_0010316,v2_cold_000183,separate_cold_start_challenge
v2_rr_0010248,v2_cold_000184,separate_cold_start_challenge
v2_rr_0011067,v2_cold_000185,separate_cold_start_challenge
v2_rr_0011505,v2_cold_000186,separate_cold_start_challenge
v2_rr_0010754,v2_cold_000187,separate_cold_start_challenge
v2_rr_0011987,v2_cold_000188,separate_cold_start_challenge
v2_rr_0011340,v2_cold_000189,separate_cold_start_challenge
v2_rr_0010583,v2_cold_000190,separate_cold_start_challenge
v2_rr_0011726,v2_cold_000191,separate_cold_start_challenge
v2_rr_0010648,v2_cold_000192,separate_cold_start_challenge
v2_rr_0011267,v2_cold_000193,separate_cold_start_challenge
v2_rr_0011316,v2_cold_000194,separate_cold_start_challenge
v2_rr_0009857,v2_cold_000195,separate_cold_start_challenge
v2_rr_0009616,v2_cold_000196,separate_cold_start_challenge
v2_rr_0011532,v2_cold_000197,separate_cold_start_challenge
v2_rr_0010815,v2_cold_000198,separate_cold_start_challenge
v2_rr_0009882,v2_cold_000199,separate_cold_start_challenge
v2_rr_0010219,v2_cold_000200,separate_cold_start_challenge
v2_rr_0009628,v2_cold_000201,separate_cold_start_challenge
v2_rr_0010714,v2_cold_000202,separate_cold_start_challenge
v2_rr_0010332,v2_cold_000203,separate_cold_start_challenge
v2_rr_0011830,v2_cold_000204,separate_cold_start_challenge
v2_rr_0011102,v2_cold_000205,separate_cold_start_challenge
v2_rr_0010513,v2_cold_000206,separate_cold_start_challenge
v2_rr_0011325,v2_cold_000207,separate_cold_start_challenge
v2_rr_0009662,v2_cold_000208,separate_cold_start_challenge
v2_rr_0011464,v2_cold_000209,separate_cold_start_challenge
v2_rr_0010504,v2_cold_000210,separate_cold_start_challenge
v2_rr_0010786,v2_cold_000211,separate_cold_start_challenge
v2_rr_0011952,v2_cold_000212,separate_cold_start_challenge
v2_rr_0010113,v2_cold_000213,separate_cold_start_challenge
v2_rr_0010297,v2_cold_000214,separate_cold_start_challenge
v2_rr_0010085,v2_cold_000215,separate_cold_start_challenge
v2_rr_0009988,v2_cold_000216,separate_cold_start_challenge
v2_rr_0011275,v2_cold_000217,separate_cold_start_challenge
v2_rr_0011251,v2_cold_000218,separate_cold_start_challenge
v2_rr_0010777,v2_cold_000219,separate_cold_start_challenge
v2_rr_0011276,v2_cold_000220,separate_cold_start_challenge
v2_rr_0010279,v2_cold_000221,separate_cold_start_challenge
v2_rr_0010706,v2_cold_000222,separate_cold_start_challenge
v2_rr_0010967,v2_cold_000223,separate_cold_start_challenge
v2_rr_0009790,v2_cold_000224,separate_cold_start_challenge
v2_rr_0011165,v2_cold_000225,separate_cold_start_challenge
v2_rr_0010478,v2_cold_000226,separate_cold_start_challenge
v2_rr_0010307,v2_cold_000227,separate_cold_start_challenge
v2_rr_0011331,v2_cold_000228,separate_cold_start_challenge
v2_rr_0009987,v2_cold_000229,separate_cold_start_challenge
v2_rr_0011897,v2_cold_000230,separate_cold_start_challenge
v2_rr_0010005,v2_cold_000231,separate_cold_start_challenge
v2_rr_0010417,v2_cold_000232,separate_cold_start_challenge
v2_rr_0011184,v2_cold_000233,separate_cold_start_challenge
v2_rr_0010211,v2_cold_000234,separate_cold_start_challenge
v2_rr_0010495,v2_cold_000235,separate_cold_start_challenge
v2_rr_0011071,v2_cold_000236,separate_cold_start_challenge
v2_rr_0009799,v2_cold_000237,separate_cold_start_challenge
v2_rr_0009858,v2_cold_000238,separate_cold_start_challenge
v2_rr_0010570,v2_cold_000239,separate_cold_start_challenge
