refund_request_id,payment_id,merchant_id,order_id,currency,captured_amount_paise,amount_refunded_paise,active_reservation_amount_paise,refundable_balance_paise,payment_status,payment_exists,merchant_matches,currency_matches,snapshot_as_of,source
v2_rr_0000021,v2_pay_0000021,v2_benchmark_merchant,ord_0000396,INR,1079500,279794,0,799706,captured,True,True,True,2009-12-11T22:32:26.793144903Z,SIMULATED_PAYMENT_LEDGER
v2_rr_0000022,v2_pay_0000022,v2_benchmark_merchant,ord_0000348,INR,2367000,0,0,2367000,captured,True,True,True,2009-12-11T23:21:42.424815244Z,SIMULATED_PAYMENT_LEDGER
v2_rr_0000023,v2_pay_0000023,v2_benchmark_merchant,ord_0000058,INR,5800200,0,0,5800200,captured,True,True,True,2009-12-11T23:42:14.635151875Z,SIMULATED_PAYMENT_LEDGER
v2_rr_0000024,v2_pay_0000024,v2_benchmark_merchant,ord_0000150,INR,1247800,0,0,1247800,captured,True,True,True,2009-12-12T01:01:57.730930578Z,SIMULATED_PAYMENT_LEDGER
v2_rr_0000025,v2_pay_0000025,v2_benchmark_merchant,ord_0000687,INR,3048000,0,0,3048000,captured,True,True,True,2009-12-12T01:19:36.974102022Z,SIMULATED_PAYMENT_LEDGER
v2_rr_0000026,v2_pay_0000026,v2_benchmark_merchant,ord_0000420,INR,3076500,0,0,3076500,captured,True,True,True,2009-12-12T04:00:23.399922475Z,SIMULATED_PAYMENT_LEDGER
v2_rr_0000027,v2_pay_0000027,v2_benchmark_merchant,ord_0000262,INR,3444000,0,0,3444000,captured,True,True,True,2009-12-12T06:10:18.250586178Z,SIMULATED_PAYMENT_LEDGER
v2_rr_0000028,v2_pay_0000028,v2_benchmark_merchant,ord_0000749,INR,2725000,0,0,2725000,captured,True,True,True,2009-12-12T13:47:01.413224265Z,SIMULATED_PAYMENT_LEDGER
v2_rr_0000029,v2_pay_0000029,v2_benchmark_merchant,ord_0000047,INR,2915800,0,0,2915800,captured,True,True,True,2009-12-12T15:45:38.386936918Z,SIMULATED_PAYMENT_LEDGER
v2_rr_0000030,v2_pay_0000030,v2_benchmark_merchant,ord_0000435,INR,1094000,0,0,1094000,captured,True,True,True,2009-12-12T17:17:44.143214019Z,SIMULATED_PAYMENT_LEDGER
v2_rr_0000031,v2_pay_0000031,v2_benchmark_merchant,ord_0000282,INR,2283000,0,0,2283000,captured,True,True,True,2009-12-12T20:19:59.124635732Z,SIMULATED_PAYMENT_LEDGER
v2_rr_0000032,v2_pay_0000032,v2_benchmark_merchant,ord_0000274,INR,102000,15746,0,86254,captured,True,True,True,2009-12-12T22:59:14.218094590Z,SIMULATED_PAYMENT_LEDGER
v2_rr_0000033,v2_pay_0000033,v2_benchmark_merchant,ord_0000382,INR,4100000,0,0,4100000,captured,True,True,True,2009-12-13T00:51:49.634260632Z,SIMULATED_PAYMENT_LEDGER
v2_rr_0000034,v2_pay_0000034,v2_benchmark_merchant,ord_0000365,INR,6826500,0,0,6826500,captured,True,True,True,2009-12-13T02:49:00.664979750Z,SIMULATED_PAYMENT_LEDGER
v2_rr_0000035,v2_pay_0000035,v2_benchmark_merchant,ord_0000751,INR,1918900,0,0,1918900,captured,True,True,True,2009-12-13T03:09:46.766062792Z,SIMULATED_PAYMENT_LEDGER
v2_rr_0000036,v2_pay_0000036,v2_benchmark_merchant,ord_0000173,INR,4543500,364235,0,4179265,captured,True,True,True,2009-12-13T09:38:03.301700539Z,SIMULATED_PAYMENT_LEDGER
v2_rr_0000037,v2_pay_0000037,v2_benchmark_merchant,ord_0000077,INR,3372000,0,0,3372000,captured,True,True,True,2009-12-13T11:23:23.119572420Z,SIMULATED_PAYMENT_LEDGER
v2_rr_0000038,v2_pay_0000038,v2_benchmark_merchant,ord_0000595,INR,4881600,0,0,4881600,captured,True,True,True,2009-12-13T14:00:27.066517208Z,SIMULATED_PAYMENT_LEDGER
v2_rr_0000039,v2_pay_0000039,v2_benchmark_merchant,ord_0000389,INR,3513000,0,0,3513000,captured,True,True,True,2009-12-13T14:42:44.899883620Z,SIMULATED_PAYMENT_LEDGER
v2_rr_0000040,v2_pay_0000040,v2_benchmark_merchant,ord_0000207,INR,2068500,0,0,2068500,captured,True,True,True,2009-12-13T14:47:38.455270959Z,SIMULATED_PAYMENT_LEDGER
v2_rr_0000041,v2_pay_0000041,v2_benchmark_merchant,ord_0000128,INR,7959800,0,0,7959800,captured,True,True,True,2009-12-13T22:15:46.305533642Z,SIMULATED_PAYMENT_LEDGER
v2_rr_0000042,v2_pay_0000042,v2_benchmark_merchant,ord_0000041,INR,5845000,0,0,5845000,captured,True,True,True,2009-12-13T22:28:15.587476518Z,SIMULATED_PAYMENT_LEDGER
v2_rr_0000043,v2_pay_0000043,v2_benchmark_merchant,ord_0000352,INR,1599500,397133,0,1202367,captured,True,True,True,2009-12-14T12:41:52.556827Z,SIMULATED_PAYMENT_LEDGER
v2_rr_0000044,v2_pay_0000044,v2_benchmark_merchant,ord_0000663,INR,10200000,0,0,10200000,captured,True,True,True,2009-12-14T12:48:51.515493969Z,SIMULATED_PAYMENT_LEDGER
v2_rr_0000045,v2_pay_0000045,v2_benchmark_merchant,ord_0000398,INR,7621000,0,0,7621000,captured,True,True,True,2009-12-14T19:38:09.154831482Z,SIMULATED_PAYMENT_LEDGER
v2_rr_0000046,v2_pay_0000046,v2_benchmark_merchant,ord_0000182,INR,2845500,0,0,2845500,captured,True,True,True,2009-12-14T20:00:25.848608354Z,SIMULATED_PAYMENT_LEDGER
v2_rr_0000047,v2_pay_0000047,v2_benchmark_merchant,ord_0000359,INR,16105200,0,0,16105200,captured,True,True,True,2009-12-14T20:25:00.081499158Z,SIMULATED_PAYMENT_LEDGER
v2_rr_0000048,v2_pay_0000048,v2_benchmark_merchant,ord_0000690,INR,202500,0,0,202500,captured,True,True,True,2009-12-14T22:24:43.861611784Z,SIMULATED_PAYMENT_LEDGER
v2_rr_0000049,v2_pay_0000049,v2_benchmark_merchant,ord_0000315,INR,25061400,0,0,25061400,captured,True,True,True,2009-12-15T07:13:48.683259848Z,SIMULATED_PAYMENT_LEDGER
v2_rr_0000050,v2_pay_0000050,v2_benchmark_merchant,ord_0000853,INR,3003500,0,0,3003500,captured,True,True,True,2009-12-15T07:25:14.207242192Z,SIMULATED_PAYMENT_LEDGER
v2_rr_0000051,v2_pay_0000051,v2_benchmark_merchant,ord_0000532,INR,1474000,0,0,1474000,captured,True,True,True,2009-12-15T08:31:08.446395742Z,SIMULATED_PAYMENT_LEDGER
v2_rr_0000052,v2_pay_0000052,v2_benchmark_merchant,ord_0000459,INR,7965500,0,0,7965500,captured,True,True,True,2009-12-15T09:43:02.200331647Z,SIMULATED_PAYMENT_LEDGER
v2_rr_0000053,v2_pay_0000053,v2_benchmark_merchant,ord_0000531,INR,1377500,0,0,1377500,captured,True,True,True,2009-12-15T11:34:17.626861475Z,SIMULATED_PAYMENT_LEDGER
v2_rr_0000054,v2_pay_0000054,v2_benchmark_merchant,ord_0000131,INR,1257300,0,0,1257300,captured,True,True,True,2009-12-15T12:25:25.144405494Z,SIMULATED_PAYMENT_LEDGER
v2_rr_0000055,v2_pay_0000055,v2_benchmark_merchant,ord_0000963,INR,3629300,0,0,3629300,captured,True,True,True,2009-12-15T12:26:23.339587924Z,SIMULATED_PAYMENT_LEDGER
v2_rr_0000056,v2_pay_0000056,v2_benchmark_merchant,ord_0000403,INR,1640300,0,0,1640300,captured,True,True,True,2009-12-15T13:14:06.572935604Z,SIMULATED_PAYMENT_LEDGER
v2_rr_0000057,v2_pay_0000057,v2_benchmark_merchant,ord_0000953,INR,418900,0,0,418900,captured,True,True,True,2009-12-15T19:43:47.423147472Z,SIMULATED_PAYMENT_LEDGER
v2_rr_0000058,v2_pay_0000058,v2_benchmark_merchant,ord_0000669,INR,25908000,0,0,25908000,captured,True,True,True,2009-12-16T00:17:12.462732680Z,SIMULATED_PAYMENT_LEDGER
v2_rr_0000059,v2_pay_0000059,v2_benchmark_merchant,ord_0000356,INR,4072200,0,0,4072200,captured,True,True,True,2009-12-16T02:56:13.976462126Z,SIMULATED_PAYMENT_LEDGER
v2_rr_0000060,v2_pay_0000060,v2_benchmark_merchant,ord_0000651,INR,5806400,0,0,5806400,captured,True,True,True,2009-12-16T04:52:45.602211698Z,SIMULATED_PAYMENT_LEDGER
v2_rr_0000061,v2_pay_0000061,v2_benchmark_merchant,ord_0000167,INR,1968800,0,0,1968800,captured,True,True,True,2009-12-16T06:13:18.119543976Z,SIMULATED_PAYMENT_LEDGER
v2_rr_0000062,v2_pay_0000062,v2_benchmark_merchant,ord_0000541,INR,2550000,0,0,2550000,captured,True,True,True,2009-12-16T11:35:21.288054838Z,SIMULATED_PAYMENT_LEDGER
v2_rr_0000063,v2_pay_0000063,v2_benchmark_merchant,ord_0000744,INR,4624600,581127,0,4043473,captured,True,True,True,2009-12-16T11:38:16.657588202Z,SIMULATED_PAYMENT_LEDGER
v2_rr_0000064,v2_pay_0000064,v2_benchmark_merchant,ord_0000292,INR,144750000,0,0,144750000,captured,True,True,True,2009-12-16T14:30:37.312985019Z,SIMULATED_PAYMENT_LEDGER
v2_rr_0000065,v2_pay_0000065,v2_benchmark_merchant,ord_0000628,INR,1888900,0,0,1888900,captured,True,True,True,2009-12-16T14:30:57.404362064Z,SIMULATED_PAYMENT_LEDGER
v2_rr_0000066,v2_pay_0000066,v2_benchmark_merchant,ord_0000123,INR,2613000,0,0,2613000,captured,True,True,True,2009-12-16T15:31:32.730344818Z,SIMULATED_PAYMENT_LEDGER
v2_rr_0000067,v2_pay_0000067,v2_benchmark_merchant,ord_0000357,INR,3087500,296419,0,2791081,captured,True,True,True,2009-12-16T18:30:00.780233418Z,SIMULATED_PAYMENT_LEDGER
v2_rr_0000068,v2_pay_0000068,v2_benchmark_merchant,ord_0000014,INR,1961000,0,0,1961000,captured,True,True,True,2009-12-16T19:50:08.411428118Z,SIMULATED_PAYMENT_LEDGER
v2_rr_0000069,v2_pay_0000069,v2_benchmark_merchant,ord_0000732,INR,1947500,0,0,1947500,captured,True,True,True,2009-12-16T22:12:13.866981230Z,SIMULATED_PAYMENT_LEDGER
v2_rr_0000070,v2_pay_0000070,v2_benchmark_merchant,ord_0000714,INR,22855800,0,0,22855800,captured,True,True,True,2009-12-16T23:31:43.038830883Z,SIMULATED_PAYMENT_LEDGER
v2_rr_0000071,v2_pay_0000071,v2_benchmark_merchant,ord_0000321,INR,411800,0,0,411800,captured,True,True,True,2009-12-17T00:11:38.726605584Z,SIMULATED_PAYMENT_LEDGER
v2_rr_0000072,v2_pay_0000072,v2_benchmark_merchant,ord_0000730,INR,5079000,0,0,5079000,captured,True,True,True,2009-12-17T03:41:50.983602753Z,SIMULATED_PAYMENT_LEDGER
v2_rr_0000073,v2_pay_0000073,v2_benchmark_merchant,ord_0000048,INR,1286000,0,0,1286000,captured,True,True,True,2009-12-17T03:43:59.461709356Z,SIMULATED_PAYMENT_LEDGER
v2_rr_0000074,v2_pay_0000074,v2_benchmark_merchant,ord_0001127,INR,15500700,0,0,15500700,captured,True,True,True,2009-12-17T05:17:50.750003572Z,SIMULATED_PAYMENT_LEDGER
v2_rr_0000075,v2_pay_0000075,v2_benchmark_merchant,ord_0000424,INR,6720000,0,0,6720000,captured,True,True,True,2009-12-17T06:10:08.695112066Z,SIMULATED_PAYMENT_LEDGER
v2_rr_0000076,v2_pay_0000076,v2_benchmark_merchant,ord_0000677,INR,6600000,1706110,0,4893890,captured,True,True,True,2009-12-17T06:21:40.413794598Z,SIMULATED_PAYMENT_LEDGER
v2_rr_0000077,v2_pay_0000077,v2_benchmark_merchant,ord_0000820,INR,12000,615,0,11385,captured,True,True,True,2009-12-17T06:48:01.137315530Z,SIMULATED_PAYMENT_LEDGER
v2_rr_0000078,v2_pay_0000078,v2_benchmark_merchant,ord_0000620,INR,42500,0,0,42500,captured,True,True,True,2009-12-17T08:20:02.067687465Z,SIMULATED_PAYMENT_LEDGER
v2_rr_0000079,v2_pay_0000079,v2_benchmark_merchant,ord_0000338,INR,392000,0,0,392000,captured,True,True,True,2009-12-17T13:46:24.295806055Z,SIMULATED_PAYMENT_LEDGER
v2_rr_0000080,v2_pay_0000080,v2_benchmark_merchant,ord_0000477,INR,2691500,877162,0,1814338,captured,True,True,True,2009-12-17T14:03:17.032456822Z,SIMULATED_PAYMENT_LEDGER
v2_rr_0000081,v2_pay_0000081,v2_benchmark_merchant,ord_0000252,INR,4309000,0,0,4309000,captured,True,True,True,2009-12-17T22:40:23.437561008Z,SIMULATED_PAYMENT_LEDGER
v2_rr_0000082,v2_pay_0000082,v2_benchmark_merchant,ord_0000497,INR,2429600,0,0,2429600,captured,True,True,True,2009-12-17T23:46:46.546516615Z,SIMULATED_PAYMENT_LEDGER
v2_rr_0000083,v2_pay_0000083,v2_benchmark_merchant,ord_0000188,INR,1768800,0,0,1768800,captured,True,True,True,2009-12-18T05:01:21.414292183Z,SIMULATED_PAYMENT_LEDGER
v2_rr_0000084,v2_pay_0000084,v2_benchmark_merchant,ord_0000957,INR,15798000,0,0,15798000,captured,True,True,True,2009-12-18T06:25:33.944970211Z,SIMULATED_PAYMENT_LEDGER
v2_rr_0000085,v2_pay_0000085,v2_benchmark_merchant,ord_0000726,INR,87000,0,0,87000,captured,True,True,True,2009-12-18T08:36:53.576310468Z,SIMULATED_PAYMENT_LEDGER
v2_rr_0000086,v2_pay_0000086,v2_benchmark_merchant,ord_0000154,INR,408000,0,0,408000,captured,True,True,True,2009-12-18T09:33:53.986670474Z,SIMULATED_PAYMENT_LEDGER
v2_rr_0000087,v2_pay_0000087,v2_benchmark_merchant,ord_0000722,INR,118000,0,0,118000,captured,True,True,True,2009-12-18T09:50:58.074008017Z,SIMULATED_PAYMENT_LEDGER
v2_rr_0000088,v2_pay_0000088,v2_benchmark_merchant,ord_0000433,INR,67000,0,0,67000,captured,True,True,True,2009-12-18T12:59:56.860706397Z,SIMULATED_PAYMENT_LEDGER
v2_rr_0000089,v2_pay_0000089,v2_benchmark_merchant,ord_0000201,INR,1579100,0,0,1579100,captured,True,True,True,2009-12-18T13:00:46.364952368Z,SIMULATED_PAYMENT_LEDGER
v2_rr_0000090,v2_pay_0000090,v2_benchmark_merchant,ord_0000339,INR,2576200,0,0,2576200,captured,True,True,True,2009-12-18T13:06:04.122214784Z,SIMULATED_PAYMENT_LEDGER
v2_rr_0000091,v2_pay_0000091,v2_benchmark_merchant,ord_0000395,INR,10776000,0,0,10776000,captured,True,True,True,2009-12-18T14:47:27.714719125Z,SIMULATED_PAYMENT_LEDGER
v2_rr_0000092,v2_pay_0000092,v2_benchmark_merchant,ord_0000306,INR,2581000,0,0,2581000,captured,True,True,True,2009-12-18T21:24:09.728484098Z,SIMULATED_PAYMENT_LEDGER
v2_rr_0000093,v2_pay_0000093,v2_benchmark_merchant,ord_0001059,INR,4115100,0,0,4115100,captured,True,True,True,2009-12-18T21:51:48.418333672Z,SIMULATED_PAYMENT_LEDGER
v2_rr_0000094,v2_pay_0000094,v2_benchmark_merchant,ord_0000354,INR,3397800,408329,0,2989471,captured,True,True,True,2009-12-19T00:04:47.650264836Z,SIMULATED_PAYMENT_LEDGER
v2_rr_0000095,v2_pay_0000095,v2_benchmark_merchant,ord_0000982,INR,5000000,0,0,5000000,captured,True,True,True,2009-12-19T00:20:33.597622074Z,SIMULATED_PAYMENT_LEDGER
v2_rr_0000096,v2_pay_0000096,v2_benchmark_merchant,ord_0001112,INR,1622500,0,0,1622500,captured,True,True,True,2009-12-19T01:25:51.906076575Z,SIMULATED_PAYMENT_LEDGER
v2_rr_0000097,v2_pay_0000097,v2_benchmark_merchant,ord_0000565,INR,4112000,0,0,4112000,captured,True,True,True,2009-12-19T02:05:22.088614264Z,SIMULATED_PAYMENT_LEDGER
v2_rr_0000098,v2_pay_0000098,v2_benchmark_merchant,ord_0000336,INR,3199600,0,0,3199600,captured,True,True,True,2009-12-19T02:56:41.118577886Z,SIMULATED_PAYMENT_LEDGER
v2_rr_0000099,v2_pay_0000099,v2_benchmark_merchant,ord_0001044,INR,2099000,0,0,2099000,captured,True,True,True,2009-12-19T03:45:10.186211296Z,SIMULATED_PAYMENT_LEDGER
v2_rr_0000100,v2_pay_0000100,v2_benchmark_merchant,ord_0000215,INR,6329000,0,0,6329000,captured,True,True,True,2009-12-19T05:07:46.592510720Z,SIMULATED_PAYMENT_LEDGER
v2_rr_0000101,v2_pay_0000101,v2_benchmark_merchant,ord_0000214,INR,7357000,1074904,0,6282096,captured,True,True,True,2009-12-19T05:17:04.866243555Z,SIMULATED_PAYMENT_LEDGER
v2_rr_0000102,v2_pay_0000102,v2_benchmark_merchant,ord_0000451,INR,1591000,0,0,1591000,captured,True,True,True,2009-12-19T05:20:24.963084087Z,SIMULATED_PAYMENT_LEDGER
v2_rr_0000103,v2_pay_0000103,v2_benchmark_merchant,ord_0000739,INR,7280500,1376318,0,5904182,captured,True,True,True,2009-12-19T05:54:38.225632884Z,SIMULATED_PAYMENT_LEDGER
v2_rr_0000104,v2_pay_0000104,v2_benchmark_merchant,ord_0000464,INR,7606900,0,0,7606900,captured,True,True,True,2009-12-19T11:11:24.254715258Z,SIMULATED_PAYMENT_LEDGER
v2_rr_0000105,v2_pay_0000105,v2_benchmark_merchant,ord_0000155,INR,3330900,0,0,3330900,captured,True,True,True,2009-12-19T11:40:32.421747003Z,SIMULATED_PAYMENT_LEDGER
v2_rr_0000106,v2_pay_0000106,v2_benchmark_merchant,ord_0001132,INR,1377300,0,0,1377300,captured,True,True,True,2009-12-19T13:11:27.583700596Z,SIMULATED_PAYMENT_LEDGER
v2_rr_0000107,v2_pay_0000107,v2_benchmark_merchant,ord_0001004,INR,3398700,0,0,3398700,captured,True,True,True,2009-12-19T14:36:33.544203483Z,SIMULATED_PAYMENT_LEDGER
v2_rr_0000108,v2_pay_0000108,v2_benchmark_merchant,ord_0000056,INR,1567100,0,0,1567100,captured,True,True,True,2009-12-19T17:20:57.704470412Z,SIMULATED_PAYMENT_LEDGER
v2_rr_0000109,v2_pay_0000109,v2_benchmark_merchant,ord_0000563,INR,3679000,0,0,3679000,captured,True,True,True,2009-12-19T17:49:22.988343093Z,SIMULATED_PAYMENT_LEDGER
v2_rr_0000110,v2_pay_0000110,v2_benchmark_merchant,ord_0000702,INR,1090800,0,0,1090800,captured,True,True,True,2009-12-19T19:15:39.047802687Z,SIMULATED_PAYMENT_LEDGER
v2_rr_0000111,v2_pay_0000111,v2_benchmark_merchant,ord_0000958,INR,6348800,708684,0,5640116,captured,True,True,True,2009-12-19T20:46:01.223137880Z,SIMULATED_PAYMENT_LEDGER
v2_rr_0000112,v2_pay_0000112,v2_benchmark_merchant,ord_0000178,INR,6342900,0,0,6342900,captured,True,True,True,2009-12-19T23:57:42.525819918Z,SIMULATED_PAYMENT_LEDGER
v2_rr_0000113,v2_pay_0000113,v2_benchmark_merchant,ord_0000414,INR,3003200,0,0,3003200,captured,True,True,True,2009-12-20T01:06:17.456397852Z,SIMULATED_PAYMENT_LEDGER
v2_rr_0000114,v2_pay_0000114,v2_benchmark_merchant,ord_0001329,INR,1955000,0,0,1955000,captured,True,True,True,2009-12-20T01:38:21.292070311Z,SIMULATED_PAYMENT_LEDGER
v2_rr_0000115,v2_pay_0000115,v2_benchmark_merchant,ord_0000559,INR,5045400,0,0,5045400,captured,True,True,True,2009-12-20T02:19:55.727184534Z,SIMULATED_PAYMENT_LEDGER
v2_rr_0000116,v2_pay_0000116,v2_benchmark_merchant,ord_0000754,INR,3899900,197679,0,3702221,captured,True,True,True,2009-12-20T02:55:25.185367866Z,SIMULATED_PAYMENT_LEDGER
v2_rr_0000117,v2_pay_0000117,v2_benchmark_merchant,ord_0000228,INR,9768000,0,0,9768000,captured,True,True,True,2009-12-20T03:50:48.809341159Z,SIMULATED_PAYMENT_LEDGER
v2_rr_0000118,v2_pay_0000118,v2_benchmark_merchant,ord_0000067,INR,1058500,275253,0,783247,captured,True,True,True,2009-12-20T05:54:56.902645345Z,SIMULATED_PAYMENT_LEDGER
v2_rr_0000119,v2_pay_0000119,v2_benchmark_merchant,ord_0000892,INR,1650000,0,0,1650000,captured,True,True,True,2009-12-20T08:17:52.384214958Z,SIMULATED_PAYMENT_LEDGER
v2_rr_0000120,v2_pay_0000120,v2_benchmark_merchant,ord_0000793,INR,4180500,0,0,4180500,captured,True,True,True,2009-12-20T08:30:25.751315379Z,SIMULATED_PAYMENT_LEDGER
v2_rr_0000121,v2_pay_0000121,v2_benchmark_merchant,ord_0000268,INR,5005500,0,0,5005500,captured,True,True,True,2009-12-20T08:46:02.464385462Z,SIMULATED_PAYMENT_LEDGER
v2_rr_0000122,v2_pay_0000122,v2_benchmark_merchant,ord_0000408,INR,4358800,0,0,4358800,captured,True,True,True,2009-12-20T08:54:14.323006423Z,SIMULATED_PAYMENT_LEDGER
v2_rr_0000123,v2_pay_0000123,v2_benchmark_merchant,ord_0000040,INR,6414500,0,0,6414500,captured,True,True,True,2009-12-20T11:37:15.809192292Z,SIMULATED_PAYMENT_LEDGER
v2_rr_0000124,v2_pay_0000124,v2_benchmark_merchant,ord_0001354,INR,1362000,464035,0,897965,captured,True,True,True,2009-12-20T12:34:18.527798182Z,SIMULATED_PAYMENT_LEDGER
v2_rr_0000125,v2_pay_0000125,v2_benchmark_merchant,ord_0000426,INR,1491000,0,0,1491000,captured,True,True,True,2009-12-20T18:07:05.433504231Z,SIMULATED_PAYMENT_LEDGER
v2_rr_0000126,v2_pay_0000126,v2_benchmark_merchant,ord_0000528,INR,4508400,334093,0,4174307,captured,True,True,True,2009-12-20T20:50:08.824503020Z,SIMULATED_PAYMENT_LEDGER
v2_rr_0000127,v2_pay_0000127,v2_benchmark_merchant,ord_0000617,INR,12443200,3962293,0,8480907,captured,True,True,True,2009-12-20T20:53:53.620812655Z,SIMULATED_PAYMENT_LEDGER
v2_rr_0000128,v2_pay_0000128,v2_benchmark_merchant,ord_0001120,INR,2669800,0,0,2669800,captured,True,True,True,2009-12-20T21:10:05.427224636Z,SIMULATED_PAYMENT_LEDGER
v2_rr_0000129,v2_pay_0000129,v2_benchmark_merchant,ord_0000242,INR,6422000,0,0,6422000,captured,True,True,True,2009-12-21T00:00:15.942923173Z,SIMULATED_PAYMENT_LEDGER
v2_rr_0000130,v2_pay_0000130,v2_benchmark_merchant,ord_0000991,INR,6153000,0,0,6153000,captured,True,True,True,2009-12-21T02:25:01.422869814Z,SIMULATED_PAYMENT_LEDGER
v2_rr_0000131,v2_pay_0000131,v2_benchmark_merchant,ord_0000819,INR,1433600,0,0,1433600,captured,True,True,True,2009-12-21T02:56:18.290026575Z,SIMULATED_PAYMENT_LEDGER
v2_rr_0000132,v2_pay_0000132,v2_benchmark_merchant,ord_0000190,INR,859500,0,0,859500,captured,True,True,True,2009-12-21T05:13:46.360176855Z,SIMULATED_PAYMENT_LEDGER
v2_rr_0000133,v2_pay_0000133,v2_benchmark_merchant,ord_0001250,INR,1917200,0,0,1917200,captured,True,True,True,2009-12-21T09:39:24.237403470Z,SIMULATED_PAYMENT_LEDGER
v2_rr_0000134,v2_pay_0000134,v2_benchmark_merchant,ord_0000277,INR,2150000,0,0,2150000,captured,True,True,True,2009-12-21T09:52:51.178624408Z,SIMULATED_PAYMENT_LEDGER
